fiscalDateEnding_Income,reportedCurrency_Income,grossProfit,totalRevenue,costOfRevenue,costofGoodsAndServicesSold,operatingIncome,sellingGeneralAndAdministrative,researchAndDevelopment,operatingExpenses,investmentIncomeNet,netInterestIncome,interestIncome,interestExpense,nonInterestIncome,otherNonOperatingIncome,depreciation,depreciationAndAmortization,incomeBeforeTax,incomeTaxExpense,interestAndDebtExpense,netIncomeFromContinuingOperations,comprehensiveIncomeNetOfTax,ebit,ebitda,netIncome,Year,fiscalDateEnding_balance,reportedCurrency_balance,totalAssets,totalCurrentAssets,cashAndCashEquivalentsAtCarryingValue,cashAndShortTermInvestments,inventory,currentNetReceivables,totalNonCurrentAssets,propertyPlantEquipment,accumulatedDepreciationAmortizationPPE,intangibleAssets,intangibleAssetsExcludingGoodwill,goodwill,investments,longTermInvestments,shortTermInvestments,otherCurrentAssets,otherNonCurrentAssets,totalLiabilities,totalCurrentLiabilities,currentAccountsPayable,deferredRevenue,currentDebt,shortTermDebt,totalNonCurrentLiabilities,capitalLeaseObligations,longTermDebt,currentLongTermDebt,longTermDebtNoncurrent,shortLongTermDebtTotal,otherCurrentLiabilities,otherNonCurrentLiabilities,totalShareholderEquity,treasuryStock,retainedEarnings,commonStock,commonStockSharesOutstanding,fiscalDateEnding,reportedCurrency,operatingCashflow,paymentsForOperatingActivities,proceedsFromOperatingActivities,changeInOperatingLiabilities,changeInOperatingAssets,depreciationDepletionAndAmortization,capitalExpenditures,changeInReceivables,changeInInventory,profitLoss,cashflowFromInvestment,cashflowFromFinancing,proceedsFromRepaymentsOfShortTermDebt,paymentsForRepurchaseOfCommonStock,paymentsForRepurchaseOfEquity,paymentsForRepurchaseOfPreferredStock,dividendPayout,dividendPayoutCommonStock,dividendPayoutPreferredStock,proceedsFromIssuanceOfCommonStock,proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet,proceedsFromIssuanceOfPreferredStock,proceedsFromRepurchaseOfEquity,proceedsFromSaleOfTreasuryStock,changeInCashAndCashEquivalents,changeInExchangeRate,netIncome_Cashflow,Gross_Margin,Operating_Margin,Net_Profit_Margin,Current_Ratio,Debt_to_Equity,ROA,ROE,OCF,FCF,Revenue_Growth
2009-12-31,USD,43785000000.0,95758000000.0,51973000000.0,50752000000.0,15792000000.0,20952000000.0,5820000000.0,28395000000.0,,-402000000.0,,402000000.0,-219000000.0,351000000.0,3773000000.0,1221000000.0,18138000000.0,4713000000.0,402000000.0,13425000000.0,29865000000.0,18540000000.0,19761000000.0,13425000000.0,2009.0,2009-12-31,USD,109022000000.0,48935000000.0,12183000000.0,13974000000.0,2494000000.0,10736000000.0,49443000000.0,14165000000.0,25431000000.0,22703000000.0,2513000000.0,20190000000.0,115000000.0,115000000.0,1791000000.0,-1000000.0,5379000000.0,86267000000.0,36002000000.0,7436000000.0,,4168000000.0,1946000000.0,50266000000.0,,24154000000.0,2222000000.0,,26100000000.0,5223000000.0,8819000000.0,22637000000.0,81243000000.0,80900000000.0,41810000000.0,1318329640.0,2009-12-31,USD,20773000000,1240000000,,170000000,-2394000000,4994000000,4077000000,-2131000000,-263000000,13425000000,-6729000000,-14700000000,-651000000,7429000000.0,7429000000.0,,2860000000,2860000000,,,6683000000,,-4377000000,,-558000000.0,98000000.0,13425000000,0.4572463919463648,0.1649157250569143,0.14019716368345203,1.3592300427754014,3.810884834562884,0.12314028361248189,0.593055616910368,0.2169322667557802,5.095168015697817,
2010-12-31,USD,46014000000.0,99870000000.0,53857000000.0,52757000000.0,14411000000.0,21837000000.0,6026000000.0,31166000000.0,,-368000000.0,,368000000.0,805000000.0,787000000.0,3657000000.0,1729000000.0,19714000000.0,4890000000.0,368000000.0,14833000000.0,29744000000.0,20082000000.0,21811000000.0,14824000000.0,2010.0,2010-12-31,USD,113452000000.0,48116000000.0,10661000000.0,11651000000.0,2450000000.0,10834000000.0,56114000000.0,14096000000.0,26193000000.0,28624000000.0,3488000000.0,25136000000.0,122000000.0,122000000.0,990000000.0,5790000000.0,5778000000.0,90279000000.0,40562000000.0,7804000000.0,15246000000.0,6778000000.0,2761000000.0,54524000000.0,,25863000000.0,4017000000.0,21846000000.0,28624000000.0,5156000000.0,8226000000.0,23046000000.0,96161000000.0,92532000000.0,45418000000.0,1227993544.0,2010-12-31,USD,19549000000,951000000,,174000000,397000000,5386000000,4754000000,489000000,-92000000,14833000000,-8507000000,-12429000000,817000000,15375000000.0,15375000000.0,,3177000000,3177000000,,,8055000000,,-11601000000,,-1522000000.0,-135000000.0,14824000000,0.4607389606488435,0.1442975868629218,0.1484329628517072,1.186233420442779,3.9173392345743294,0.13066318795614004,0.6432352685932483,0.1957444678081506,4.11211611274716,4.294158190438391
2011-12-31,USD,50138000000.0,106916000000.0,56778000000.0,55713000000.0,16531000000.0,23594000000.0,6258000000.0,34229000000.0,,-411000000.0,,411000000.0,342000000.0,20000000.0,3589000000.0,1779000000.0,20997000000.0,5148000000.0,411000000.0,15855000000.0,17603000000.0,21408000000.0,23187000000.0,15849000000.0,2011.0,2011-12-31,USD,116433000000.0,50928000000.0,11922000000.0,11922000000.0,2595000000.0,28080000000.0,66929000000.0,13883000000.0,26241000000.0,29605000000.0,3392000000.0,26213000000.0,884000000.0,131000000.0,0.0,6850000000.0,4895000000.0,96197000000.0,42123000000.0,8517000000.0,16044000000.0,8463000000.0,4157000000.0,59703000000.0,,27161000000.0,4306000000.0,22857000000.0,31318000000.0,4535000000.0,8996000000.0,20138000000.0,110963000000.0,104857000000.0,48129000000.0,1163182565.0,2011-12-31,USD,19846000000,956000000,,451000000,1442000000,5368000000,4667000000,1279000000,163000000,15855000000,-4396000000,-13696000000,1321000000,15046000000.0,15046000000.0,,3473000000,3473000000,,,9996000000,,-12593000000,,2523000000.0,-493000000.0,15849000000,0.4689475850200157,0.15461670844401212,0.14823786898125632,1.2090306958193862,4.776889462707319,0.13612120275179718,0.7870195650014897,0.18562235773878558,4.252410542104135,7.055171723240217
2012-12-31,USD,50361000000.0,102874000000.0,52513000000.0,53122000000.0,16082000000.0,23463000000.0,5816000000.0,33946000000.0,,-459000000.0,,459000000.0,729000000.0,843000000.0,3392000000.0,1829000000.0,22134000000.0,5541000000.0,459000000.0,16604000000.0,29324000000.0,22593000000.0,24422000000.0,16593000000.0,2012.0,2012-12-31,USD,119213000000.0,49433000000.0,10412000000.0,11129000000.0,2287000000.0,28705000000.0,67137000000.0,13996000000.0,26505000000.0,33034000000.0,3787000000.0,29247000000.0,1422000000.0,120000000.0,717000000.0,5439000000.0,5021000000.0,100229000000.0,43625000000.0,7952000000.0,16443000000.0,9181000000.0,3589000000.0,60597000000.0,,29680000000.0,5593000000.0,24088000000.0,29680000000.0,4847000000.0,7607000000.0,18860000000.0,123131000000.0,117641000000.0,50110000000.0,1117367676.0,2012-12-31,USD,19586000000,1009000000,,-224000000,1950000000,5221000000,4717000000,2230000000,-280000000,16604000000,-9004000000,-11976000000,-441000000,11995000000.0,11995000000.0,,3773000000,3773000000,,,12242000000,,-10455000000,,-1511000000.0,-116000000.0,16593000000,0.48954060306783054,0.156327157493633,0.16129439897350156,1.133134670487106,5.314369034994698,0.13918784025232148,0.8797985153764581,0.1903882419270175,4.152215391138435,-3.7805379924426674
2013-12-31,USD,48684000000.0,98367000000.0,49683000000.0,50136000000.0,17075000000.0,23451000000.0,5743000000.0,31832000000.0,,-402000000.0,,402000000.0,236000000.0,327000000.0,3327000000.0,1938000000.0,19839000000.0,3363000000.0,402000000.0,16483000000.0,37117000000.0,20241000000.0,22179000000.0,16476000000.0,2013.0,2013-12-31,USD,125641000000.0,51350000000.0,10716000000.0,11066000000.0,2310000000.0,30252000000.0,73054000000.0,13821000000.0,26654000000.0,35055000000.0,3871000000.0,31184000000.0,549000000.0,137000000.0,350000000.0,-1000000.0,4639000000.0,103294000000.0,40154000000.0,7461000000.0,16665000000.0,6862000000.0,3009000000.0,68996000000.0,,36710000000.0,3854000000.0,32856000000.0,39719000000.0,4748000000.0,9934000000.0,22792000000.0,137242000000.0,130042000000.0,51594000000.0,1054390937.0,2013-12-31,USD,17485000000,1012000000,,-529000000,1464000000,5265000000,4140000000,1407000000,57000000,16483000000,-7326000000,-9883000000,621000000,13859000000.0,13859000000.0,,4058000000,4058000000,,,16353000000,,-12785000000,,304000000.0,28000000.0,16476000000,0.4949220775259996,0.17358463712423883,0.1674951965598219,1.2788265179060616,4.532028782028782,0.13113553696643612,0.7228852228852228,0.17775270161741236,4.223429951690822,-4.381087543985851
2014-12-31,USD,46407000000.0,92793000000.0,46386000000.0,45346000000.0,16443000000.0,23180000000.0,5437000000.0,28429000000.0,,-484000000.0,,484000000.0,1535000000.0,1938000000.0,3145000000.0,1347000000.0,16250000000.0,4234000000.0,484000000.0,15751000000.0,5742000000.0,16734000000.0,18081000000.0,12016000000.0,2014.0,2014-12-31,USD,117271000000.0,47377000000.0,8476000000.0,8476000000.0,2103000000.0,31831000000.0,65218000000.0,10771000000.0,28263000000.0,33660000000.0,3104000000.0,30556000000.0,1167000000.0,350000000.0,0.0,1000000.0,5520000000.0,105257000000.0,39581000000.0,6864000000.0,15568000000.0,5731000000.0,1130000000.0,70280000000.0,,39593000000.0,4601000000.0,34991000000.0,40805000000.0,5994000000.0,8733000000.0,11868000000.0,150715000000.0,137793000000.0,52666000000.0,990523759.0,2014-12-31,USD,16868000000,1061000000,,-456000000,-1231000000,5034000000,4183000000,-1270000000,39000000,12022000000,-3001000000,-15452000000,-1753000000,13679000000.0,13679000000.0,,4265000000,4265000000,,,8180000000,,-12970000000,,-2240000000.0,-655000000.0,12016000000,0.5001131550871294,0.17720086644466715,0.12949252637591196,1.19696318940906,8.868975396022918,0.1024635246565647,1.0124705089315806,0.18178095330466737,4.032512550800861,-5.666534508524201
2015-12-31,USD,40684000000.0,81741000000.0,41057000000.0,40046000000.0,13333000000.0,20430000000.0,5247000000.0,27351000000.0,,-468000000.0,,468000000.0,-71000000.0,724000000.0,2662000000.0,1193000000.0,15771000000.0,2581000000.0,468000000.0,13364000000.0,11459000000.0,16239000000.0,17432000000.0,13190000000.0,2015.0,2015-12-31,USD,110495000000.0,42504000000.0,7686000000.0,8194000000.0,1551000000.0,28554000000.0,64956000000.0,10727000000.0,18615000000.0,35508000000.0,3487000000.0,32021000000.0,1008000000.0,282000000.0,508000000.0,4205000000.0,5187000000.0,96071000000.0,34269000000.0,6028000000.0,14792000000.0,6461000000.0,1190000000.0,66076000000.0,,38699000000.0,5271000000.0,33428000000.0,39889000000.0,4353000000.0,8099000000.0,14262000000.0,155518000000.0,146124000000.0,53262000000.0,965728725.0,2015-12-31,USD,17255000000,995000000,,81000000,-945000000,4395000000,4151000000,-812000000,-133000000,13190000000,-8159000000,-9413000000,101000000,4609000000.0,4609000000.0,,4897000000,4897000000,,,5540000000,,-4287000000,,-790000000.0,-473000000.0,13190000000,0.4977184032492874,0.1631127585911599,0.16136333051956792,1.2403046485161515,6.736152012340485,0.11937191728132494,0.9248352264759501,0.21109357605118606,4.156829679595278,-11.9103811709935
2016-12-31,USD,38516000000.0,79919000000.0,41403000000.0,40580000000.0,9715000000.0,20869000000.0,5726000000.0,28579000000.0,,-630000000.0,108000000.0,630000000.0,,-145000000.0,2837000000.0,1544000000.0,12321000000.0,449000000.0,630000000.0,11881000000.0,12081000000.0,12951000000.0,14495000000.0,11872000000.0,2016.0,2016-12-31,USD,117470000000.0,43888000000.0,7826000000.0,8527000000.0,1553000000.0,29245000000.0,66971000000.0,10830000000.0,19303000000.0,40887000000.0,4688000000.0,36199000000.0,713000000.0,119000000.0,701000000.0,-1000000.0,,99078000000.0,36275000000.0,6209000000.0,14635000000.0,7513000000.0,1274000000.0,66849000000.0,,40893000000.0,6239000000.0,34655000000.0,42167000000.0,11518000000.0,7477000000.0,18246000000.0,159050000000.0,152759000000.0,53935000000.0,945867403.0,2016-12-31,USD,17084000000,1158000000,,197000000,-698000000,4957000000,3567000000,-712000000,14000000,11872000000,-10928000000,-5917000000,26000000,3502000000.0,3502000000.0,,5256000000,5256000000,,,9132000000,,-3298000000,,140000000.0,-51000000.0,11872000000,0.48193796218671403,0.12156058008733843,0.14855040728737848,1.2098690558235699,5.430121670503124,0.10106410147271644,0.6506631590485585,0.21376643851900048,4.789458929072049,-2.2289915709374775
2017-12-31,USD,36943000000.0,79139000000.0,42196000000.0,41703000000.0,8813000000.0,19680000000.0,5590000000.0,27414000000.0,,-615000000.0,144000000.0,615000000.0,,216000000.0,3021000000.0,1520000000.0,11395000000.0,5642000000.0,615000000.0,5758000000.0,8559000000.0,12010000000.0,13530000000.0,5753000000.0,2017.0,2017-12-31,USD,125356000000.0,49735000000.0,11972000000.0,12580000000.0,1583000000.0,31630000000.0,69446000000.0,11116000000.0,21215000000.0,40530000000.0,3742000000.0,36788000000.0,894000000.0,137000000.0,608000000.0,3942000000.0,,107631000000.0,37363000000.0,6451000000.0,15298000000.0,6987000000.0,1773000000.0,75565000000.0,,45052000000.0,5214000000.0,39837000000.0,46825000000.0,12374000000.0,9965000000.0,17594000000.0,163507000000.0,153126000000.0,54566000000.0,922179225.0,2017-12-31,USD,16724000000,1208000000,,47000000,-1315000000,4541000000,3229000000,-1297000000,-18000000,5753000000,-7081000000,-6418000000,620000000,4340000000.0,4340000000.0,,5506000000,5506000000,,,9643000000,,-4165000000,,4146000000.0,937000000.0,5753000000,0.46681155940813,0.1113610230101467,0.07269487863126903,1.3311297272702942,6.117483232920314,0.045893295893295896,0.32698647266113445,0.21132437862495104,5.179312480644162,-0.9759881880403887
2018-12-31,USD,36936000000.0,79591000000.0,42655000000.0,42655000000.0,10838000000.0,19366000000.0,5379000000.0,26098000000.0,,-723000000.0,264000000.0,723000000.0,,-1152000000.0,3127000000.0,1353000000.0,11347000000.0,2619000000.0,723000000.0,8723000000.0,8252000000.0,12070000000.0,13423000000.0,8728000000.0,2018.0,2018-12-31,USD,123382000000.0,49146000000.0,11379000000.0,11997000000.0,1682000000.0,30563000000.0,68067000000.0,10792000000.0,21668000000.0,39352000000.0,3087000000.0,36265000000.0,1157000000.0,192000000.0,618000000.0,4904000000.0,,106452000000.0,38227000000.0,6558000000.0,14610000000.0,10207000000.0,10207000000.0,76767000000.0,,42656000000.0,7051000000.0,35605000000.0,52863000000.0,10297000000.0,12174000000.0,16796000000.0,168071000000.0,159206000000.0,55151000000.0,892479411.0,2018-12-31,USD,15247000000,1423000000,,126000000,-879000000,4480000000,3395000000,-1006000000,127000000,8728000000,-4913000000,-10469000000,1341000000,4443000000.0,4443000000.0,,5666000000,5666000000,,,6891000000,,-4443000000,,-135000000.0,,8728000000,0.46407257101933636,0.13617117513286678,0.10966064002211305,1.2856358071520129,6.337937604191474,0.07073965408244315,0.5196475351274112,0.19156688570315739,4.491016200294551,0.5711469692566196
